ID,adj.P.Val,P.Value,B,Gene.symbol,AveExpr,logFC
10339804,0.017733287,0.000434149,0.468450312,,5.19185774,1.356924813
10343862,0.017162823,0.000412777,0.523145271,,8.589724588,1.345210853
10378401,0.008877231,9.91014E-05,2.046778418,,6.417261593,1.34374682
10486956,0.016265658,0.000364144,0.658778072,Duox2,5.572288616,1.333711937
10598064,0.009891769,0.000124643,1.805348608,,8.729368433,1.322141687
10545697,0.017226329,0.0004148,0.517850205,Dguok,8.039121271,1.318481356
10339449,0.017139896,0.000406107,0.540785226,,7.96518159,1.313380496
10608373,0.008024191,8.02202E-05,2.267886237,Gm20917///Gm20877///Gm20865///Gm20854///Gm20852///Gm20822///Gm20815///Gm20809///Gm20806///Gm20747///Gm21943///Gm20738///Ssty2,8.191127674,1.309608817
10371356,0.012592077,0.000213677,1.23219518,Appl2,9.872341709,1.298110788
10341843,0.017139506,0.000402847,0.549511385,,6.077165179,1.295479724
10582882,0.017452347,0.000423736,0.494759518,,5.961032148,1.294394333
10510872,0.011375363,0.000172558,1.460350525,,8.896614283,1.290433693
10598062,0.014676272,0.000288797,0.908853981,,9.301701181,1.28336553
10579772,0.019682861,0.000550395,0.210862216,,6.881940178,1.238430385
10343029,0.016265658,0.000360354,0.670085389,,5.370991079,1.238013113
10339680,0.010393668,0.000134855,1.722094591,,10.87829366,1.19177164
10419726,0.014001285,0.00026421,1.004557787,,8.972379144,1.187645858
10353002,0.010933827,0.000153958,1.581637013,,9.023336879,1.187241471
10376408,0.011375363,0.000170478,1.473263636,Olfr316,7.01275287,1.164578433
10444656,0.011416129,0.000175241,1.443915656,,3.643186913,1.162999179
10521596,0.013609652,0.000249797,1.064804997,Gm16223,5.486461353,1.156138584
10340473,0.008056874,8.29793E-05,2.232608848,,11.96493418,1.147009664
10375578,0.018791748,0.000490337,0.33641882,Flt4,5.92059414,1.142228741
10343555,0.018688881,0.000487115,0.343576294,,10.55783093,1.140961124
10511258,0.01961549,0.000545654,0.220269488,Fam132a,8.364307672,1.134597735
10440338,0.012678621,0.000217517,1.21313323,4930423O20Rik,3.764684282,1.127673028
10400981,0.012518372,0.000210179,1.249853479,D830013O20Rik,5.895638914,1.12222032
10516994,0.014547009,0.000284579,0.924688634,Fam76a,7.833008874,1.116371451
10343216,0.010767906,0.000147145,1.629677008,,6.638231933,1.11052017
10339285,0.012380019,0.000204434,1.279488855,,7.741049266,1.109038672
10468970,0.012949384,0.000230584,1.150649338,Phxr1,6.608496571,1.105660068
10587653,0.019394906,0.000530068,0.251776397,4932427H20Rik,8.438274398,1.101998113
10552779,0.015861825,0.000339961,0.733010591,Fuz,6.453481652,1.101188817
10523843,0.011262976,0.000162011,1.527463404,,7.831730692,1.091051002
10576556,0.008024191,8.03343E-05,2.266405011,,8.372505202,1.090906332
10446763,0.014257057,0.000272754,0.970342431,Lbh,10.49247726,1.072806163
10414990,0.020361567,0.000585636,0.143342486,,5.912552972,1.064521078
10502131,0.019148307,0.00051828,0.276217546,Lrit3,5.122117786,1.041019908
10338605,0.014861358,0.000296993,0.878720146,,9.151455802,1.031137981
10402551,0.016267016,0.000366897,0.650637174,,5.57071109,1.02034158
10341540,0.012935175,0.000228115,1.162188544,,10.63143828,1.017241232
10399027,0.016265658,0.00036174,0.665936935,Adam6a,3.858733706,1.009434771
10437573,0.017139896,0.000410107,0.530171391,,5.73057284,1.00644582
10601503,0.013749401,0.000253945,1.047126364,Dach2,4.083628172,1.001125481
10338591,0.016265658,0.00036481,0.656804392,,6.068544006,0.994264315
10523960,0.013897446,0.000258678,1.027291654,Pigg,8.12516874,0.993863414
10411142,0.018248265,0.000466181,0.391252197,Bhmt,5.307912421,0.99226529
10529215,0.018100857,0.000450438,0.428516541,,5.836301693,0.984218206
10512945,0.017249353,0.000416347,0.513818336,Olfr272,4.438307941,0.979611866
10404848,0.013456953,0.000245446,1.083665262,Jarid2,8.179978481,0.977070017
10561525,0.014861358,0.000296425,0.880781351,Gm10648,6.653269929,0.97368675
10537817,0.012380019,0.000203501,1.284376641,Olfr444///Olfr441///Olfr237-ps1///Olfr435///Olfr434///Olfr47,5.581520836,0.969248102
